Institution,Machine,Acquisition,Analysis,Beam Name,Baseline Acquisition,Baseline Analysis,Axial Symmetry,Transverse Symmetry,Flatness,Profile Constancy,Baseline Designation,Top CU,Bottom CU,Left CU,Right CU,Center CU,Baseline Top CU,Baseline Bottom CU,Baseline Left CU,Baseline Right CU,Baseline Center CU,Type,Collimator,EPID,URL,Uploaded By,Pixel Rows,Pixel Columns,Pixel size X,Pixel size Y,KVP,Exposure Time msec,Meterset Exposure,Start Cumulative Meterset Wt,X-Ray Origin X,X-Ray Origin Y,X-Ray Origin Z,Source to Image,Source to Isocenter,Gantry Angle,Collimator Angle,End Cumulative Meterset Wt,Operator,Software Version,SOPInstanceUID,SeriesInstanceUID,PatientID,PatientName
INST___1,MACH_26,2018-09-09T12:18:22,2019-10-30T17:08:12,Flood 6X,2018-09-09T12:18:22,2019-10-30T17:08:12,-0.6410854422638301,-0.14444352276289754,1.7261221059436362,0.0,implicit,0.9827568209150193,0.9890977828103709,1.017279896826953,1.0158105019076173,1.0081059928917382,0.9827568209150193,0.9890977828103709,1.017279896826953,1.0158105019076173,1.0081059928917382,TrueBeam 2,Millenium,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1503,USER___2,384,512,0.7839999794960022,0.7839999794960022,6000.0,NA,200.05999755859375,NA,-0.5218411684036255,0.5037943124771118,-500.0,1500.0,1000.0,0.0,0.0,NA,NA,0,1.2.246.352.81.3.2975530614.22380.17017.156.50,1.2.246.352.61.2.4811674497622471482.1816317448735948223,0,$JM_AQA_phase2_v000,
INST___1,MACH_26,2018-09-09T12:18:22,2019-10-30T17:08:12,J20G0-6X,2018-09-09T12:18:22,2019-10-30T17:08:12,-0.07289294869891519,-0.3275789468983335,0.3112993027089234,0.0,implicit,0.24966657021332228,0.2498486922924199,0.25058230949480664,0.24976145460425003,0.25122584480860743,0.24966657021332228,0.2498486922924199,0.25058230949480664,0.24976145460425003,0.25122584480860743,TrueBeam 2,Millenium,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1503,USER___2,384,512,0.7839999794960022,0.7839999794960022,6000.0,NA,50.04999923706055,NA,-0.5218411684036255,0.5037943124771118,-500.0,1500.0,1000.0,0.0,0.0,NA,NA,0,1.2.246.352.81.3.2931304094.33551.20445.139.61,1.2.246.352.61.2.4811674497622471482.1816317448735948223,0,$JM_AQA_phase2_v000,
INST___1,MACH_26,2018-09-09T12:43:56,2018-11-15T17:48:19,J20G0-6X,2018-09-09T12:18:22,2019-10-30T17:08:12,0.12372371292503594,-0.12547768345790347,0.1516430805481179,0.5295556662677947,,0.24925960652974222,0.24895159437379688,0.24970777680569534,0.24939444927194532,0.24925960652974222,0.24966657021332228,0.2498486922924199,0.25058230949480664,0.24976145460425003,0.25122584480860743,TrueBeam 2,Millenium,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=735,USER___2,384,512,0.7839999794960022,0.7839999794960022,6000.0,NA,50.04999923706055,NA,-0.5218411684036255,0.5037943124771118,-500.0,1500.0,1000.0,0.0,0.0,NA,NA,0,1.2.246.352.81.3.3693634982.24037.17126.129.166,1.2.246.352.61.2.4709639674251226853.5727063446109978773,0,$JM_AQA_phase2_v000,
INST___1,MACH_26,2018-09-09T12:18:22,2019-10-30T17:08:12,J20G0-10F,2018-09-09T12:18:22,2019-10-30T17:08:12,-0.0783545690320857,-0.3240367838056048,0.29263889836218715,0.0,implicit,0.24877866349297362,0.24897374579849707,0.2496642737489756,0.2488552696660078,0.2502389832369971,0.24877866349297362,0.24897374579849707,0.2496642737489756,0.2488552696660078,0.2502389832369971,TrueBeam 2,Millenium,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1503,USER___2,384,512,0.7839999794960022,0.7839999794960022,6000.0,NA,50.060001373291016,NA,-0.5218411684036255,0.5037943124771118,-500.0,1500.0,1000.0,0.0,359.8999938964844,NA,NA,0,1.2.246.352.81.3.2735587392.30551.17746.179.24,1.2.246.352.61.2.4811674497622471482.1816317448735948223,0,$JM_AQA_phase2_v000,
INST___1,MACH_26,2018-09-09T12:18:22,2019-10-30T17:08:12,J20G0-10X,2018-09-09T12:18:22,2019-10-30T17:08:12,-0.08151062373175229,-0.3254834778458259,0.32446749765754834,0.0,implicit,0.24954207870950396,0.24974564794488674,0.2504467635180547,0.24963160068200385,0.2511667160062695,0.24954207870950396,0.24974564794488674,0.2504467635180547,0.24963160068200385,0.2511667160062695,TrueBeam 2,Millenium,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1503,USER___2,384,512,0.7839999794960022,0.7839999794960022,6000.0,NA,50.04999923706055,NA,-0.5218411684036255,0.5037943124771118,-500.0,1500.0,1000.0,0.0,0.0,NA,NA,0,1.2.246.352.81.3.2955949016.27490.19897.132.82,1.2.246.352.61.2.4811674497622471482.1816317448735948223,0,$JM_AQA_phase2_v000,
INST___1,MACH_26,2018-09-09T12:43:56,2018-11-15T17:48:19,J20G0-10X,2018-09-09T12:18:22,2019-10-30T17:08:12,0.13724089493374003,-0.11972546255095275,0.13461942178501163,0.5294706205296623,,0.2487507903131836,0.2484098703839649,0.24907958781603512,0.24878137612740236,0.2487507903131836,0.24954207870950396,0.24974564794488674,0.2504467635180547,0.24963160068200385,0.2511667160062695,TrueBeam 2,Millenium,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=735,USER___2,384,512,0.7839999794960022,0.7839999794960022,6000.0,NA,50.06999969482422,NA,-0.5218411684036255,0.5037943124771118,-500.0,1500.0,1000.0,0.0,0.0,NA,NA,0,1.2.246.352.81.3.2523488783.1767.16929.190.118,1.2.246.352.61.2.4709639674251226853.5727063446109978773,0,$JM_AQA_phase2_v000,
INST___1,MACH_26,2018-09-09T12:18:22,2019-10-30T17:08:12,J20G0-16X,2018-09-09T12:18:22,2019-10-30T17:08:12,-0.8452438291613409,0.2696449068085252,0.8385485873258735,0.0,implicit,0.25188473100571873,0.25403192013475784,0.2538806087870391,0.25456518491800784,0.2503313818895859,0.25188473100571873,0.25403192013475784,0.2538806087870391,0.25456518491800784,0.2503313818895859,TrueBeam 2,Millenium,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1503,USER___2,384,512,0.7839999794960022,0.7839999794960022,16000.0,NA,50.04999923706055,NA,-0.5218411684036255,0.5037943124771118,-500.0,1500.0,1000.0,0.0,0.0,NA,NA,0,1.2.246.352.81.3.1827337185.20986.19055.159.83,1.2.246.352.61.2.4811674497622471482.1816317448735948223,0,$JM_AQA_phase2_v000,
INST___1,MACH_26,2018-09-09T12:43:56,2018-11-15T17:48:19,J20G0-16X,2018-09-09T12:18:22,2019-10-30T17:08:12,-0.7100688848895735,0.40200119498985004,0.5416391097101048,-0.6797785390586952,,0.2514117491054062,0.25320971248729685,0.2531324740688262,0.2541500696394903,0.2514117491054062,0.25188473100571873,0.25403192013475784,0.2538806087870391,0.25456518491800784,0.2503313818895859,TrueBeam 2,Millenium,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=735,USER___2,384,512,0.7839999794960022,0.7839999794960022,16000.0,NA,50.06999969482422,NA,-0.5218411684036255,0.5037943124771118,-500.0,1500.0,1000.0,0.0,0.0,NA,NA,0,1.2.246.352.81.3.1850232604.18945.16930.168.243,1.2.246.352.61.2.4709639674251226853.5727063446109978773,0,$JM_AQA_phase2_v000
INST___1,MACH_43,2019-04-10T08:23:08,2019-05-22T18:24:47,J18G0-6X,2019-04-10T08:23:08,2019-05-22T18:24:47,0.3442856313547457,-0.43557538830085185,1.9524564343212722,0.0,implicit,22.55196145562855,22.474584689834796,22.643143894913674,22.544515932969883,23.369673865770594,22.55196145562855,22.474584689834796,22.643143894913674,22.544515932969883,23.369673865770594,TrueBeam 2,HD,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1022,USER___2,1190,1190,0.335999995470047,0.335999995470047,6000.0,5153,50.001651763916016,5.108978257339913E-6,3.953447157982737E-4,-0.007343176286667585,-500.0242004394531,1500.024169921875,1000.0,360.0,359.99951171875,1.0000381469726562,OperatorsName_1872,0,1.3.6.1.4.1.22361.48658618118952.675367149.1554931181686.14,1.3.6.1.4.1.22361.48658618118952.675367149.1554931181686.2,0,PatientName_1873,
INST___1,MACH_43,2019-04-10T08:23:08,2019-05-22T18:24:47,Flood 6X,2019-04-10T08:23:08,2019-05-22T18:24:47,0.361374977806593,-0.31357356893250765,1.9967091740901148,0.0,implicit,91.06933009432898,90.74141333203893,93.22431504383746,92.93198823204162,94.43892615927318,91.06933009432898,90.74141333203893,93.22431504383746,92.93198823204162,94.43892615927318,TrueBeam 2,HD,On-Board Imager 40x40cm,https://localhost:9443/view/ViewOutput?outputPK=1022,USER___2,1190,1190,0.335999995470047,0.335999995470047,6000.0,20156,200.00485229492188,1.4909599030943355E-6,3.953447157982737E-4,0.00792999379336834,-499.9726257324219,1499.97265625,1000.0,360.0,359.9991760253906,1.000025749206543,OperatorsName_1872,0,1.3.6.1.4.1.22361.48658618118952.675367149.1554931181686.0,1.3.6.1.4.1.22361.48658618118952.675367149.1554931181686.2,0,PatientName_1873,
